time;weather_wmo code;temperature_max;temperature_min;temperature_mean;precipitation_sum (mm);rain_sum (mm);wind_speed_10m_max (km/h);wind_gusts_10m_max (km/h)
2010-01-01T00:00;51;24,4;18,8;21,7;0,6;0,6;26,4;41,4
2010-01-02T00:00;0;27,8;19,2;23,9;0;0;9,5;16,6
2010-01-03T00:00;51;28,6;21,8;25,1;0,1;0,1;23,1;32
2010-01-04T00:00;63;26;21,3;23,9;20,2;20,2;20,9;33,8
2010-01-05T00:00;63;29;21,3;25;5,6;5,6;19,6;26,3
2010-01-06T00:00;65;23,6;18,8;21,9;14,3;14,3;41,9;58,7
2010-01-07T00:00;1;23,9;17,2;20,7;0;0;19,6;32,4
2010-01-08T00:00;0;25,7;17,8;21,8;0;0;25;37,4
2010-01-09T00:00;0;28,4;19,5;24,4;0;0;13,4;24,1
2010-01-10T00:00;61;29,5;21,9;25;3,6;3,6;28,7;45
2010-01-11T00:00;3;28,5;20,6;24,4;0;0;29;46,8
2010-01-12T00:00;65;25,9;18,5;21,8;27,8;27,8;44,6;70,6
2010-01-13T00:00;0;26,6;15,9;21,2;0;0;29,1;44,3
2010-01-14T00:00;0;28,3;17,1;23,2;0;0;16;25,6
2010-01-15T00:00;2;29,4;20,6;24,9;0;0;17,9;30,6
2010-01-16T00:00;51;24,2;21,2;22,9;0,4;0,4;21;29,9
2010-01-17T00:00;0;30,7;20,8;25,4;0;0;22,7;33,8
2010-01-18T00:00;3;29,2;22,8;26,3;0;0;17,7;27,4
2010-01-19T00:00;63;25,5;21,2;23,5;22,7;22,7;33,2;49,3
2010-01-20T00:00;1;26,2;19,1;22,9;0;0;13,1;20,5
2010-01-21T00:00;0;29,9;22;25,6;0;0;16,8;29,9
2010-01-22T00:00;51;28,9;21,3;25,1;0,1;0,1;21,3;33,8
2010-01-23T00:00;51;29;22,7;25,4;0,2;0,2;19,6;30,6
2010-01-24T00:00;1;28,6;22,7;25,4;0;0;16;26,3
2010-01-25T00:00;0;29,6;22,6;26,1;0;0;22,6;34,6
2010-01-26T00:00;0;28,8;23,3;25,8;0;0;21,6;33,8
2010-01-27T00:00;0;29,4;23,5;26,2;0;0;17,7;27,4
2010-01-28T00:00;0;30,1;23,6;26,7;0;0;19,2;32
2010-01-29T00:00;1;31,2;23,9;27,5;0;0;20,4;31,7
2010-01-30T00:00;51;31,2;24,4;27,1;0,3;0,3;33,8;48,2
2010-01-31T00:00;63;27,8;24,5;26;6;6;25,1;39,6
2010-02-01T00:00;63;30,4;24,2;26,9;4,4;4,4;18,3;25,2
2010-02-02T00:00;63;29,2;24;25,6;31,6;31,6;29,1;45,4
2010-02-03T00:00;63;31,7;24,2;26,7;27,5;27,5;23,6;58
2010-02-04T00:00;53;26,1;23,3;24,6;1,8;1,8;24,7;41,4
2010-02-05T00:00;61;27,3;23,1;24,9;6,6;6,6;23,4;36,7
2010-02-06T00:00;65;27,4;23,4;24,7;69,5;69,5;20,2;40,3
2010-02-07T00:00;63;29,1;23,1;25,1;11,7;11,7;23,4;55,8
2010-02-08T00:00;1;27,8;20,6;23,9;0;0;24,9;36,4
2010-02-09T00:00;0;29,6;20,2;24,7;0;0;23,3;33,8
2010-02-10T00:00;61;27,2;22,1;24,4;5,2;5,2;29,6;43,9
2010-02-11T00:00;1;29,2;22,5;25,4;0;0;26,1;38,5
2010-02-12T00:00;0;29;23,7;26,2;0;0;16,9;29,5
2010-02-13T00:00;53;30,3;24,6;26,8;0,9;0,9;26,3;31,7
2010-02-14T00:00;3;24,6;18,4;21,7;0;0;32,7;50,8
2010-02-15T00:00;55;25,1;19,8;22,1;3,2;3,2;29,6;45,7
2010-02-16T00:00;53;22,6;19;20,6;3,7;3,7;37,7;59,8
2010-02-17T00:00;3;23,9;19,2;21,7;0;0;29,6;44,6
2010-02-18T00:00;3;27,2;20,7;23,8;0;0;29,3;45
2010-02-19T00:00;53;28;24,1;25,9;2,8;2,8;30,4;43,6
2010-02-20T00:00;63;25,2;22,7;23,4;44,6;44,6;26,8;46,1
2010-02-21T00:00;61;23,2;22;22,6;7;7;37,2;58
2010-02-22T00:00;53;25,8;21,9;23,6;3,7;3,7;33,4;51,8
2010-02-23T00:00;51;23,7;19;21,4;0,6;0,6;25,8;38,5
2010-02-24T00:00;1;21;15;18,2;0;0;27,8;44,6
2010-02-25T00:00;0;20,1;13;16,8;0;0;16,6;25,9
2010-02-26T00:00;1;21,9;14,9;18,6;0;0;13;18,4
2010-02-27T00:00;51;24,9;17;21,1;0,1;0,1;13,1;17,3
2010-02-28T00:00;51;23,8;18,6;21,3;0,2;0,2;17,7;29,5
2010-03-01T00:00;3;25,4;19,4;22,3;0;0;19,4;28,1
2010-03-02T00:00;53;26,6;22;23,6;2,2;2,2;16,8;31
2010-03-03T00:00;63;24;21,4;22,6;29,4;29,4;21,6;36
2010-03-04T00:00;61;27,5;20,4;23,5;6,1;6,1;14,5;25,6
2010-03-05T00:00;0;26,5;19,4;22,9;0;0;19,9;31,7
2010-03-06T00:00;1;26,3;18,9;22,5;0;0;11,9;20,9
2010-03-07T00:00;1;24,9;19,1;22,3;0;0;21,3;29,2
2010-03-08T00:00;1;25,2;20,4;22,5;0;0;21,3;32,4
2010-03-09T00:00;51;26,5;22,3;24,2;0,2;0,2;25,4;40
2010-03-10T00:00;53;26,4;21,4;24;1,8;1,8;16,1;27,4
2010-03-11T00:00;3;24,8;18,4;21,4;0;0;21,2;34,2
2010-03-12T00:00;1;21,5;14,6;18,7;0;0;16,9;27,4
2010-03-13T00:00;2;27;17,5;21,8;0;0;32,8;52,9
2010-03-14T00:00;1;22,7;17,1;20,7;0;0;29,9;43,9
2010-03-15T00:00;1;21,1;12,2;17,5;0;0;19,4;32,8
2010-03-16T00:00;0;21,3;13,1;18;0;0;25,3;39,6
2010-03-17T00:00;63;24,7;18,9;21,1;6,3;6,3;27,9;41,4
2010-03-18T00:00;61;24;19,6;21,8;6,1;6,1;18,4;29,5
2010-03-19T00:00;61;24,1;20,8;22,3;4;4;15,5;26,3
2010-03-20T00:00;51;22,3;18,3;20,5;0,1;0,1;19;28,8
2010-03-21T00:00;65;20,7;18,1;19,7;44,4;44,4;27,3;42,1
2010-03-22T00:00;1;24,3;15;19,3;0;0;21,4;34,2
2010-03-23T00:00;0;25,3;14,7;20,1;0;0;22;33,8
2010-03-24T00:00;0;22,9;16,7;19,8;0;0;28,2;43,2
2010-03-25T00:00;0;21,8;15,8;18,7;0;0;25,7;41
2010-03-26T00:00;0;22,4;16,3;19,4;0;0;19,7;31,3
2010-03-27T00:00;3;23,8;19;21,2;0;0;17,3;25,9
2010-03-28T00:00;3;24,8;20,4;22;0;0;15,3;25,2
2010-03-29T00:00;1;25,2;17,7;21,6;0;0;15,5;21,6
2010-03-30T00:00;1;26,2;19,3;22,5;0;0;16,6;22,7
2010-03-31T00:00;3;27,4;21,2;23,9;0;0;21,3;29,5
2010-04-01T00:00;1;25,8;18,8;22,4;0;0;21,8;32,4
2010-04-02T00:00;51;21,6;16,8;19,1;0,1;0,1;14,1;25,6
2010-04-03T00:00;2;21,2;14,4;17,6;0;0;29,3;44,6
2010-04-04T00:00;3;16,6;10,7;14,1;0;0;28,9;46,8
2010-04-05T00:00;3;17,1;10,9;14,2;0;0;22,4;34,9
2010-04-06T00:00;1;19,8;13,9;16,7;0;0;18,4;29,2
2010-04-07T00:00;1;19,8;14,5;17,2;0;0;21,7;29,9
2010-04-08T00:00;3;20,1;15,2;17,8;0;0;22;30,2
2010-04-09T00:00;2;22;16,7;18,9;0;0;20,2;28,8
2010-04-10T00:00;2;22,7;17,2;19,5;0;0;18,7;31,7
2010-04-11T00:00;2;24,1;17,4;20,3;0;0;18,9;31
2010-04-12T00:00;2;24,5;18,6;21,2;0;0;14,4;23
2010-04-13T00:00;61;22,8;13,8;19;12,7;12,7;22,5;40
2010-04-14T00:00;63;13,8;13;13,4;49,7;49,7;19,5;33,8
2010-04-15T00:00;61;16;12,6;14,2;9;9;39,6;62,3
2010-04-16T00:00;1;20,2;10,3;15,2;0;0;18,2;28,4
2010-04-17T00:00;51;19,5;14;16,8;0,6;0,6;17,7;28,8
2010-04-18T00:00;63;24,2;15,6;19,5;8,6;8,6;13,2;34,9
2010-04-19T00:00;3;22;16;18,3;0;0;10,2;18,4
2010-04-20T00:00;3;20,5;13,4;17;0;0;13,4;19,1
2010-04-21T00:00;3;19,6;13,3;16,5;0;0;9,9;16,6
2010-04-22T00:00;1;17,3;10,9;14,3;0;0;25,9;37,4
2010-04-23T00:00;2;13,6;7,1;10,8;0;0;21,7;34,6
2010-04-24T00:00;51;13,4;10,6;12,3;0,3;0,3;19,7;33,1
2010-04-25T00:00;3;17,6;12,9;15;0;0;20,4;29,5
2010-04-26T00:00;1;17,9;10,6;14;0;0;15,4;27,4
2010-04-27T00:00;1;19,8;10,9;14,7;0;0;14,8;26,6
2010-04-28T00:00;0;20,7;11,3;15,5;0;0;15,1;23,8
2010-04-29T00:00;0;19;9,9;14,4;0;0;12,7;19,1
2010-04-30T00:00;1;21,4;12,1;16,3;0;0;28,8;42,5
2010-05-01T00:00;0;23,3;13,9;18;0;0;19,5;29,2
2010-05-02T00:00;2;22,4;15,2;18,4;0;0;18,9;28,8
2010-05-03T00:00;51;19,4;14,8;17,3;0,3;0,3;19;25,9
2010-05-04T00:00;3;18,2;13,1;15,2;0;0;16,6;24,1
2010-05-05T00:00;3;19;12,9;15,6;0;0;22,9;34,6
2010-05-06T00:00;53;17,9;11,2;16;1,7;1,7;27,4;43,9
2010-05-07T00:00;0;14,7;8,2;11,4;0;0;17,4;25,9
2010-05-08T00:00;0;16,8;6,5;12,3;0;0;10;17,6
2010-05-09T00:00;0;17,6;6,6;12,2;0;0;9,4;14
2010-05-10T00:00;0;17,4;8;12,4;0;0;14,6;19,8
2010-05-11T00:00;1;16,8;10,4;13,8;0;0;16,2;25,2
2010-05-12T00:00;1;17,9;12;14,7;0;0;16,8;25,2
2010-05-13T00:00;2;18,6;12,4;15,5;0;0;24;35,6
2010-05-14T00:00;3;20;14,8;17,4;0;0;26,7;40,7
